,Transljteratjon,Translation
1657,sbH n .k As .t,Let Isis wail for you .
1658, jw .n .sn n wsjr xr xrw sbH nj As .t Hna nb .t Hw .t ,They have come to Osiris precisely because of the sound of the wailing of Isis and Nephthys .
1659,rmm .j .f rmy .t,Deeply do I weep .
1660,rm sn .T,Weep for your brother!
1661,rm n .k P.t,Let the sky weep for you .
1662,sbH n .k As .t,Isis will wail for you .
1663,Tmt HA .t Hr .f,You are the one who mourns over him .
1664,jw .sn n wsjr Ne. Hr xrw rmm As .t Hr sbH nb .t Hw .t,"They come to Osiris Neferkare, upon the sound of the weeping of Isis, upon the wailing of Nephthys ."
1665,jn sn .t .f nb .t p rm .t sw,"It is his sister, the Lady of Buto, who beweeps him ."
1666, jn sn .t T. pn nb .t p rm .t sw ,"It is the sister of Teti, the Lady of Buto, who beweeps him ."
1667,jr .snj nn nj rm .wt nTr,Making these god’s lamentations .
1668,wr jt .j,How great is my father!
1669,jt .j Ne.,O my father Neferkare .
1670,jt .j Ne.,O my father Neferkare .
1671, d .j Tn m wp .t jt .j M.n ,Let me place you on the brow of my father Merenre .
1672,jt .j Ne.,O my father Neferkare .
1673,jt .j Ne.,O my father Neferkare .
1674,dd .j Tw m jr .tj jt .j,In the eye of my father do I put you .
1675,mrH .t n jt .j mrH .t n ,"Unguent for my father, unguent for "
1676,jt .j,O my father .
1677,j .nD Hr .k jt .j m hrw .k pn,"Hail to you, O my father, on this day!"
1678,jt .j Ne.,O my father Neferkare .
1679, mA .Tn wab pn nj jt .j wsjr P. pn nTrw m smn m bd .w ,"And witness this purification of my father Osiris Pepi, the Netjeru purification with Zemern natron and Bed natron ."
1680,jA jt .j Ne.,"Greeting, O my father Neferkare!"
1681,jA jt .j wsjr P. pn,"Greeting, O my father Osiris Pepi!"
1682,jr .n n .f jt .j jb .f,My father has made his heart for himself .
1683,jrr n jt .j,And as for the one who acts for my father .
1684, m xAtb .k j .msD .w nb jt .j ,Have no mercy on anyone whom my father hates .
1685,hA jt .j wsjr P. pn,O my father Osiris Pepi .
1686,mAa r .f jt .j m nfr .t,And my father was thus served well .
1687,Hw jt .j smA wr jr .f,"O one who smote my father, O one who slew one who is greater than him ."
1688,jt .j Ne.,O my father Neferkare .
1689,jt .j Ne. wr,"O my father, O Neferkare, O great one ."
1690,jt .j,O my father .
1691,anx anx .tj jt .j m rn .k pw xrj nTr .w,"Live! Live, O my father, in your name of ‘one who is with the gods!’"
1692,jw sw Sm .t .k tn jt .j M.n mr Sm Hr n jt .f wsjr,"Indeed this your going, O my father Merenre, is like when Horus went to his father Osiris ."
1693,jt .j wsjr Ne.,O my father Osiris Neferkare .
1694,jt .j Ne.,O my father Neferkare .
1695,jA jt .j Ne.,"Greeting, O my father Neferkare!"
1696,Sn jt .j jn sH nTr,"Be enclosed, O my father, by the god’s booth!"
1697,jt .j wsjr,O my father Osiris .
1698,jt .j Ne.,O my father Neferkare .
1699,jt .j Ne.,O my father Neferkare .
1700,sDA .tj sDAy .t jt .j jm r Ax .t njt P.t,That my father’s traveling might be traveled thereon to the horizon of the sky .
1701,jt .j M.n,O my father Merenre .
1702,n SnT Ne. nj sw .t,Neferkare has not striven with the king .
1703, j .tm .w jT.w n nj sw .t Sd .tj .sn n sr .w ,"Those who are neither taken away to the king, nor taken out to the nobles ."
1704,n mwt P. pn n nj sw .t,Pepi will not die because of the king .
1705,n mwt Nt . n nj sw .t n mwt Nt . n rmT,Neith will not die because of the king; Neith will not die because of a man .
1706,n SnT.n .f nj sw .t n sm .n .f bAs .tjt,He does not strive with the king: he does not aid Bastet .
1707,snsn .t Hr .tj r Ne.,Fire being far from Neferkare .
1708,n rDj .w W. n ns .Tn,And Unas will not be given to your fire .
1709,nTr nb wd .tj .fj a .f,As for any god who would put his arm adversarily .
1710,jmj .sn DA a .sn,Let them not cross their arms .
1711,Ax nb nTr nb DA .tj .fj a .f m Ne.,As for any Akh or any god whose hand will cross to Neferkare .
1712,n mDA .w DA sw m wA .t P. pn,There is no adversary who would cross himself in the way of Pepi .
1713, dr TwA a .w jrjw Ne. pn jn j .dr jsf .t m bAH xntj jr .tj m xm ,The hindrance of arms on Neferkare having been removed by the one who removes injustice before Khentirti in Letopolis .
1714, Hsq .f HA .tjw njw DA .tj .sn sn m Ne. ,Let it cut out the hearts of those who would cross themselves to Neferkare .
1715,n SnT .j,I will not be striven with .
1716,n xsb .n sw wr .w aH HD jr msq .t sHd .w,Without the great ones of the white shrine hindering him at the Mesqet of the stars .
1717,jmj Tnj xsb W.,Do not hinder Unas!
1718,SnTT W. SnTT tm,"If Unas should be striven with, then Atum would be striven with ."
1719,n jTj .w Ne. n nj sw .t,Neferekare will not be taken away to the king .
1720,n jT .T P. pn,You will not take Pepi away .
1721,n nTr nDr P. pn,There is no god who would take hold of Pepi .
1722, jmj .sn nDr .w a .k jr pr bA pf ,Let them not take your hand to i .e . lead you to that house of that Ba .
1723,m jw sw,Do not strand him!
1724,my jwy sw,Do not strand him!
1725,n Hm jwj .w P. pn,Pepi will not be stranded .
1726,n sA j .tm jwy,And the son of Atum is not stranded .
1727, m sSA jw .tj .fj Hr Hr jr .t .f ,Do not call upon the one who would strand Horus from his eye!
1728,n sA a .wj .fj,His arms are not weak .
1729,n bdSj .f,He will not become feeble .
1730,n wDH .s Tw,May she not wean you .
1731,n wDH .s sw,She will not wean him .
1732,n wDH .s Tw,She will not wean you!
1733,n wDH .s Tw,Let her not wean you .
1734,n Hm wDHj .sn sw D .t,They will never wean him .
1735,Dj .f n .f Ax .f jmj wrS .w p,"He will give him his Akh, who is ‘watcher of Buto .’"
1736,Hr xntj mnj .t .f sAT.wtj nb sbw .t sAb Sma aD mr psD .t wr .t,"Horus foremost of his Menit, Satjuti, lord of Sebut, the jackal of Upper Egypt, the nome administrator of the great Ennead ."
1737,mdw pn wr aAj pr m rA nj DHw .tj n wsjr sDA .wj anx xtm .wj nTr .w,"This twice great word gone forth from the mouth of Thoth to Osiris: ‘seal bearer of life, sealer of the gods .’"
1738, sAx .f Tw DHw .tj js jnp js sr DADA .t ,"That he make you an Akh, as Thoth, as Anubis, noble of the court ."
1739,Htp .wj sj n sDm aHa wsjr jmj rA nTr .w,How satisfying it is to hear Osiris the overseer of the gods arising!
1740,sAb aD mr psD .t,"O jackal, nome administrator of the Ennead ."
1741,aHa jmj ndj .t,"Arise, O one who is in Nedit!"
1742,nmnm jmj ndj .t,The one who is in Nedit is shaken .
1743, j Ax pw jmj ndj .t sxm jmj tA wr ,"This Akh who is in Nedit comes, the power who is in the Thinite nome ."
1744,anx Ax jmj ndj .t,So does the Akh who is in Nedit .
1745, wsjr js bA pw jmj ndj .t sxm pw jmj njw .t wr .t ,"As Osiris, this Ba who is in Nedit, this power who is in the great city ."
1746,wsjr,O Osiris .
1747,Ts .snj wsjr Hr gs .f,That they raise Osiris from upon his side .
1748,wsjr sA gbb tpj .f,"O Osiris, son of Geb, his first ."
1749,wsjr,O Osiris .
1750,wsjr,O Osiris .
1751,jn P. dwA Tw wsjr,"It is Pepi who hymns you, O Osiris ."
1752,xa wsjr,Osiris is appeared .
1753,wsjr,O Osiris .
1754, jn TpH .k pw nw wsx .t wsjr jn TAw ,"This is your naos, the broad hall, O Osiris, that which brings breath ."
1755,wsjr,O Osiris .
1756,wsjr,O Osiris .
1757,jt .j wsjr,O my father Osiris .
1758,wsjr Ne.,O Osiris Neferkare .
1759, jA jt .j wsjr P. pn,"Greeting, O my father Osiris Pepi!"
1760,wsjr P. sA gbb tpj .f,O Osiris Pepi son of Geb his first .
1761,jA jt .j wsjr P. pn,"Greeting, O my father Osiris Pepi!"
1762,hA wsjr M. pn,O Osiris Merire .
1763,wsjr P.,O Osiris Pepi .
1764,j Hr wsjr P.,Horus comes Osiris Pepi .
1765,jnp jp jb .w jp .f wsjr P. m a nTr .w jrjw tA n nTr .w jmjw P.t nb jrp m wAx ,"Anubis, reckoner of hearts, assigns Osiris Pepi from the gods who are below to the gods who are in the sky, to be lord of wine in inundation ."
1766,wsjr P.,O Osiris Pepi .
1767,wsjr M. pn,O Osiris Merire .
1768,jt .j wsjr P. pn,O my father Osiris Pepi .
1769,jn TpH .t .k tw nw wsx .t wsjr P. pn jn .t TAw,"This is your naos, the broad hall, O Osiris Pepi, that which brings breath ."
1770,wsjr M.n pw,O Osiris Merenre .
1771,wsjr Ne.,O Osiris Neferkare .
1772,wsjr Ne.,O Osiris Neferkare .
1773, jw .sn n wsjr Ne. Hr xrw rmm As .t Hr sbH nb .t Hw .t ,"They come to Osiris Neferkare, upon the sound of the weeping of Isis, upon the wailing of Nephthys ."
1774, jt nj P. wsjr P. wr qdd .f aA bAgj ,"O father of Pepi Osiris Pepi, whose sleep is great, great of inertness ."
1775,wsjr Ne.,O Osiris Neferkare .
1776,jr .sn mAa .jw n wsjr P.,They will perform service for Osiris Pepi .
1777, wDA .t pw nw jr .n Hr n jt .f wsjr ,This is a garment which Horus made for his father Osiris .
1778, qbH .k jpn wsjr qbH .k jpn hA W. pr .w xr sA .k pr .w xr Hr ,"This libation of yours, O Osiris, this libation of yours, O Unas, which went forth because of your son, which went forth because of Horus ."
1779,wsjr,O Osiris .
1780,wsjr,O Osiris .
1781,r HA .t r HA .t xr wsjr,"To the brow! To the brow, to Osiris!"
1782,wsjr,O Osiris .
1783, wsjr bA jmj Ax .w sxm jmj s .wt .f nD .w psD .t m Hw .t sr ,"O Osiris, Ba who is among the Akhs, power who is in his offices, one whom the Ennead saves in the house of the noble ."
1784,jw .n .snj m sxn .w sn .snj wsjr m sxn .w sn .snj P. pn,"They have come, only in seeking their brother Osiris, only in seeking their brother Pepi ."
1785,wsjr,O Osiris .
1786,qbH .k jpn wsjr jmjw Ddw jmjw grg .w bA .f,"This libation of yours, O Osiris, that which is in Busiris, and that which is in Geregubaf ."
1787,wsjr,O Osiris .
1788, wsjr bA jmj Ax .w sxm jmj s .wt .f nD .w psD .t m Hw .t sr ,"O Osiris, Ba who is among the Akhs, power who is in his offices, one whom the Ennead saves in the house of the noble ."
1789,sAx .j sxm pn n bA .f,Let this power be made an Akh because of his Ba .
1790,Twt nTr sxm wa .tj,"You are a god, the sole power ."
1791, wsjr js bA pw jmj ndj .t sxm pw jmj njw .t wr .t ,"As Osiris, this Ba who is in Nedit, this power who is in the great city ."
1792,sxm .k xntj anx .w,You being a power before the living .
1793,sxm .k xntj sxm .w,May you be a power before the powers .
1794,Dj .n .f n .k Ax .w .f sAb .jw Hr js jmj pr .f xntj js xntj sxm .w,"He having given you his jackal Akhs, you being as Horus who is in his house, as the foremost one, foremost of powers ."
1795, sxm .k xntj sxm .w jmjw .k ,You being the power before the powers who are in you .
1796,sxm js xntj sxm .w1225,As the power foremost of powers .
1797,sxm nn xntj Ax .w,This one is the power foremost of Akhs .
1798,xa .tj m wpj .w bA js xntj anx .w sxm js xntj Ax .w sbA js wa .tj,"Appear as Wepiu, as the Ba who is foremost of the living, as the power foremost of Akhs, as the sole star!"
1799,xa .tj m wpj .w bA js xntj anx .w sxm js xntj Ax .w,"Appear as Wepiu, as the Ba foremost of the living, as the power foremost of Akhs!"
1800,sxm .tj m D .t .k nTr js bA js xntj anx .w sxm js xntj Ax .w,"Have power in your body as a god, as the Ba foremost of the living, as the power foremost of the Akhs!"
1801,DbA W. m nb .Tn r Dr .Tn,Adorn Unas as the lord of all of you!
1802, jx mk .tj W. jm jn mAA .w sw ,Let Unas be protected there by those who see him .
1803, jw mk .tj .f m jry .t .f r .f ,He is protected from that which might be done against him .
1804,jw mk .t W. m jr .t .j,The protection of Unas is my eye .
1805,mky Ne.,Neferkare is protected .
1806,jmj mk .tj W.,Cause that Unas be protected!
1807,nh .t W. nh .t .f,The protection of Unas is his protection .
1808,nhy tSy T. snj tSy T.,Let Teshy protect Teti; let Teshy protect Teti .
1809,snj T. nhj T.,Protect Teti; protect Teti!
1810,jw nh .t W. m jr .t .f ,The protection of Unas is his eye .
1811,wab .k n psDn .tjw,You will be pure for the new moon ceremony .
1812,wab .k n Abd,You will be pure at the monthly ceremony .
1813, xa .w .k n Abd wab .k n psDn .tjw ,You will appear at the monthly ceremony: you will be pure at the new moon ceremony .
1814, sab .k n psDn .tjw mr aHa n wrD .n .f ,You will be purified for the new moon ceremony like the one who stands tirelessly .
1815,wab .k jr .k,And be pure .
1816, j .fx .k ab .w .k n tm m jwnw ,May you release your impurity for Atum in Heliopolis .
1817,wab .k,May you be pure .
1818,wab,Be pure!
1819,wab .k,May you be pure .
1820,wab .k,May you be pure .
1821,wab,Be pure!
1822,wab,Be pure!
1823,wab .k jm .sn m nTr,Be pure by them as a god!
1824,jn .tj n .k W. sy mXn .t,"Which ferryboat, O Unas, should be brought to you?"
1825,Sm .k Tny,Where will you go?
1826,jn m tw .k,Who are you?
1827,pr .n .k Tnj,From where have you ascended?
1828,jw .n .k trj Tn,To where have you come?
1829,jn m tj jr n .k nn,Who has done this for you?
1830,jn m jr n .k nn,Who has done this for you?
1831,jn m jr n .k,Who has acted for you?
1832,Tn wr jr .k,Raise one who is greater than you!
1833,Ts .snj Tw,Let them raise you .
1834,Ts .n Tw Htm .wt,She who provides has raised you .
1835,Ts Tw gbb,Let Geb raise you .
1836,Ts .s Tw,That she may raise you .
1837,Ts Tw xntj xm,Let the foremost of Letopolis raise you .
1838,Ts .s Tw,That she may raise you .
1839,j .Sn X .t .k Xr .s,Your body being round by it .
1840,mj kw dbn .tj Sn .tj m dbn pXr HA .w nb .w,Behold: you are round and encircled as the round one who goes around the Haunebu .
1841, wr .tj dbn .tj m dbn pXr HA .w nb .w ,"Be great and round, as the round one who goes around the Haunebu!"
1842,.t .k j .Sn X .t .k Xr .s," what you have , your body being round by it ."
1843,Dsr .tj jr .f m rn .k nj tA Dsr,"You more sacred than him, in your name of ‘he of the sacred land .’"
1844,hA Dsr .tj jr .f,Go down be more sacred than him!
1845,hA Dsr .tj jr .f,Go down and be more sacred than him!
1846,Htp .f,That he be satisfied .
1847, Dj .n n .k gbb jr .tj .kj Htp .k ,Geb has given you your eyes precisely that you be satisfied .
1848,Htp .f Hr .s,That he be satisfied with it .
1849,Htp Hr .s,Be satisfied with it!
1850,Htp .k,That you may be satisfied .
1851,Htp Hr .snj,Be satisfied with them!
1852,Htp Hr .k n Hr,Your sight is satisfied because of Horus .
1853,Htp .k m jr .tj wr pn jm .k,And you are satisfied with the eyes of this great one in you .
1854, Htp .k m rn .k nj kA Htp ,"Precisely that you be satisfied, in your name of ‘satisfied Ka .’"
1855,Htp .k Hr .s,And be satisfied with it .
1856,Htp Hr .s,Be satisfied with it!
1857,Htp .k jm .f ra nb,And be satisfied with it every day .
1858, sHtp kw Sms .w Hr ,Let the followers of Horus satisfy you .
1859,sHtp .s jb .k,That it satisfy your heart .
1860, W. pw DHA .j nTr .w HAj Hw .t ra ms .n nH .t nTr .w jmjt HA .t wjA ra ,"Unas is the siever of the gods, protector of the house of Re, born of Nehet netjeru, she who is in the prow of the bark of Re ."
1861,d M.n m s .t .f bAq Xr ab .t,"And set Merenre in his place, him being cleared and bearing a forked staff !"
1862,P. pw sS mDA .t nTr Dd ntjt sxpr jwtjt,"Pepi is the scribe of the god’s book, one who says what is, who brings about what yet is not ."
1863, wnn m sS nj Hw .t Hr xpr m kA jwnw ,Being the scribe of Hathor and becoming the bull of Heliopolis .
1864,Hn .tj .j,That I be served .
1865,Hnj .sn P. pn,Even that they serve Pepi .
1866, Hny .sn1228 jmj .k nsnsnw ,"And they serve you, and so may you not suffer ."
1867,sDr r .f wr pn j .bAn r .f ,"O one who thus passes the night, O great one, O one who spends the night thus ."
1868,j .bAn r .f Ne. pn xr kA .f ,Neferkare thus passing the night with his Ka .
1869,hA Nt . pw ja .w qdd Hr .w bAn,"O Neith, one who would rise up, who sleeps, who would be distant, who passes the night ."
1870,hA Nt . pw wr qdd aA sDr jr sDr wr pn j .bAn r .f ,"O Neith, great of sleep, who is greater of sleep than this great sleeper, O one who passes the night thus ."
1871, aA .w sDr sDr r .f wr pn j .bAn r .f ,"O Neferkare, great of Qeded sleep, great of Sedjer sleep, who sleeps thus, O great one, who thus passes the night ."
1872,j .bAn r .f ,O one who passes the night thus .
1873,xpr W. m wr jmj Sd .t,Unas becoming the great one who is in Shedet .
1874,mAn n .Tn W. mr mAA sbk n n .t,That Unas may look upon you just as Sobek looks upon Neith .
1875,W. pj sbk wAD Sw .t rs Hr Ts HA .t,"Unas is Sobek, green of plumage, vigilant of sight, who raises the brow ."
1876, wDa .f mdw sbk js jmj Sd .t jnp js jmj tAb .t ,"And he passes judgment as Sobek who is in Shedet, as Anubis who is in Tabet ."
1877, n Twt js sbA wa .tj rmn .wtj Hw ,"For you are the sole star, the companion of Utterance ."
1878, Twt sbA pw wa .tj prr m gs jAb .tj nj P.t ,You are this sole star which ascends in the east of the sky .
1879,sSd .k m sbA wa .tj Hr jb nw .t,So that you don the fillet as the sole star in the center of Nut .
1880, jsT jt .j wsjr P. m sbA wa .tj m gs pf jAb .tj nj P.t,And my father Osiris Pepi is this sole star in that eastern side of the sky .
1881,xa .tj m wpj .w bA js xntj anx .w sxm js xntj Ax .w sbA js wa .tj,"Appear as Wepiu, as the Ba who is foremost of the living, as the power foremost of Akhs, as the sole star!"
1882,jT n .k wrr .t sbA js wa .tj sk xftjw,"Seize the Wereret crown as the sole star, the one who destroys enemies!"
1883,jr .n .j n .f jr .t m sbA wa .tj jwtj sn nw .f m ab .sn nTr .w,"I having done for him what should be done as for i .e . he being the sole star, the one who has no equal among them, the gods ."
1884, jT n .T wrr .t sbA js wa .tj sk xftjw ,Seize the Wereret crown as the sole star who destroys enemies!
1885,Ne. pw sA .k,Neferkare is your son .
1886,n ntjt M.n js wng sA ra rmn P.t sSm tA wp nTr .w,"For Merenre is Weneg, the son of Re, the one who shoulders the sky, who leads the earth, who judges the gods ."
1887,M. sA ra mry .f ,"Merire is the son of Re, beloved of him ."
1888,jwr P. n ra,Pepi was conceived to Re .
1889,m k wj jrj jnk sA .k,Behold: thus am I your son .
1890,sA .k pw nj D .t .k n D .t,For he is your own son forever .
1891,n Ne. Hmw . aA Xn xAtA .wj P.t,Because Neferkare is the great steering oar who rows the Khatawi of the sky .
1892,DbA Hnw .t spd .t nxt .t Xrj js ds spd swA Ht .t,"Adorned of horn sharp and strong, as the one who bears the sharp knife, the cutter of throats ."
1893,nxt W. r .sn xa Hr wDb .f ,"Unas is stronger than them, is appeared upon his bank ."
1894,P. pw DHw .tj nxt nTr .w,"For Pepi is Thoth, mightiest of the gods ."
1895,wr pH .tj .k jr .f ,Your strength being greater than his .
1896,aA pH .tj,O one great of strength .
1897,wr pH .tj .k jr .f ,With your strength greater than his .
1898,n Twt js Ax aA pH .tj,For you are the Akh great of strength .
1899, pH .tj P. pH .tj stS nbw .tj ,The strength of Pepi is the strength of Seth the Ombite .
1900,wsr .n Ne. m wAS .k,Neferkare having become strong by your might .
1901,Hr .f m wr pw nb A .t wsr m nkn .t jm .f ,"His face as this great one, lord of the diadem, one strong by what was injured in him ."
1902, jw wsr .f m Ax .t mr tm jt .f ms sw ,"His strength is in the horizon, like Atum his father who bore him ."
1903,wsr .f m wsr .t .Tnj jm,That he be strong by that by which you are strong .
1904, sxm .k m nTr s .tj js wsjr ,"And have power as a god, as the successor of Osiris ."
1905,Sm .t .k tn s .tj wsjr js,"This going of yours, is as the successor of Osiris ."
1906,Sm .t .k tw s .tj js wsjr,"This going of yours, is as the successor of Osiris ."
1907,njs sw manD .t,With the day bark summoning him .
1908,njs .sn n P. pn,Let them make summons for Pepi .
1909,njs manD .t jr . M.n,Let the day bark summon Merenre .
1910,njs .n gbb r .f ,And Geb has summoned him .
1911,hrw pw nj njs .k jr sDm wD .t mdw,On this day of your being summoned in order to hear commands .
1912,njs tm jr P. pn jr P.t n anx,"Let Atum summon Pepi to the sky, for life ."
1913, n Twt js wd .n wsjr Hr ns .t .f ,Even because you are the one whom Osiris put upon his throne .
1914,xa m jar .t jmjt wp .t stS,He being appeared as the uraeus which is in the brow of Seth .
1915,jsw .tj .f D .t pr .t m nTr jar .t pr .t m ra,"His Isuti uraeus is the cobra which came forth from the god, the I’aret uraeus which came forth from Re ."
1916,M.n pw jar .t pr .t m stS jT.t jn .t,"Merenre is the uraeus which came forth from Seth, which is taken, which is brought ."
1917,jar .t jmjt wp .t ra,The uraeus which is in the brow of Re .
1918,Ne. pw bjk ngg dbn jr .t Hr Hrj jb dA .t ,"Neferkare is a screeching falcon who circles around, the eye of Horus inside the netherworld ."
1919,D .t pw nn pr .t m ra,"This one is the cobra, who came forth from Re ."
1920,Nt . pw bjk pr m ra m jar .t pr .t m bjkm pr .t m jr .t Hr,"Neith is the falcon who came forth from Re, is the uraeus which came forth from the falcon, which came forth from the eye of Horus ."
1921, hA n .k T. m sAb Sma jnp js Hrj X .t .f wpj .w js xntj jwnw ,"Descend, O Teti, as the jackal of Upper Egypt, as Anubis, the one upon his belly, as Wepiu, foremost of Heliopolis!"
1922,rmn .wj .kj m wpj .w,Your arms are Wepiu .
1923,jw .n .f wpw .w js,"He has come, even as Wepiu ."
1924,Ssp n .k rn .k nj wpj .w,And receive your name of ‘Wepiu!’
1925,pr .k jm .sn m wpj .w,That you go out through them as Wepiu .
1926, hA n .k m sAb Sma jnp js Hrj gs .f hwpjw .w js xntj jwnw ,"Descend as the jackal of Upper Egypt, as Anubis who is beside him, as Wepiu, foremost of Heliopolis!"
1927,Ts Tw ms Hr ms jmj Dba .wt p stS js jmj HnHn .t,"Raise yourself, O child of Horus, as the child who is in Djebaut Buto, as Seth, the one who is in Henhenet!"
1928,sSm n .k mD .wt .k stS js jmj Hn .t,"Release lit . lead your fetters, as Seth who is in Henet!"
1929, sfxx n .k mD .wt .k stS js jmjt Hnb .t ,Loosen your fetters as Seth who in Henet!
1930,sfxx n .k mD .wt .k stS js jmj Hn .t,Release your fetters as Seth who is in Henet!
1931, Hr js jmj pr .f js stS jmj Hn .t," as Horus, as the one who is in his house, as Seth who is in Henet!"
1932,wHa n .k sAr .w .k Hr js jmj pr .f ,"Loosen your bonds, as Horus the one who is in his house!"
1933, wDa n .k sAr .w .k Hr js jmj pr .f ,Cut your bonds as Horus who is in his house!
1934,j .wD .k mdw mdw n Hnmm .t mnw js jmj pr .f Hr js Dba .t,"As you issue commands to the sun folk, as Min who is in his house, as Horus of Djebat ."
1935, wDa n .k sAr .w .k Hr js jmj pr .f ,Cut your bonds as Horus who is in his house!
1936, Hr js jmj pr .f js stS jmj Hn .t," as Horus, as the one who is in his house, as Seth who is in Henet!"
1937,ms .n nw M.n Hr Dr .t .f jAb .jt nxn ny sAA .t M.n,"Nu bore Merenre upon his left hand, even with him being young, knowledge of Merenre not existing ."
1938,nxn .j T.,Teti is young .
1939,nxn .w pw,He is a youth .
1940, P. pj nxn jmn qd .w jr j .xm .w sk ,"Pepi is this youth, who is more hidden of form than the imperishable stars ."
1941,mr jn .t jb nj sA .s Hr,Just as the heart of her son Horus was brought .
1942, Dj .j n .k jb .k n D .t .k ,And I put your heart into lit . to your body for you .
1943,rDj .j n .k jb .k nj D .t .k,And I give you your own heart .
1944,sbH n .k As .t,Let Isis wail for you .
1945,sbH n .k mnj .t wr .t wsjr js m s .t a .wj .f ,While the great mooring post wails for you as for Osiris in his suffering .
1946,sbH n .k As .t,Let Isis wail for you .
1947, jw .n .sn n wsjr xr xrw sbH nj As .t Hna nb .t Hw .t ,They have come to Osiris precisely because of the sound of the wailing of Isis and Nephthys .
1948,rm sn .T,Weep for your brother!
1949,sbH n .k smn .tjt,The mourning goddess wails for you .
1950,sbH n .k As .t,Isis will wail for you .
1951,Tmt HA .t Hr .f ,You are the one who mourns over him .
1952,jw .sn n wsjr Ne. Hr xrw rmm As .t Hr sbH nb .t Hw .t,"They come to Osiris Neferkare, upon the sound of the weeping of Isis, upon the wailing of Nephthys ."
1953,sbH n .k smn .tjt,Let the mourning goddess wail for you .
1954,Dsw n .k smn .tjt,Let the mourning goddess call out to you .
1955, mdw n .k As .t Dsw n .k nb .t Hw .t ,Let Isis speak to you and Nephthys call to you .
1956,mdw n .k mnj .t wr .t As .t js,The great mooring post speaking to you as Isis .
1957,Dsw n .k nb .t Hw .t,And Nephthys call out to you .
1958,nwj .w n .k mnj .t,The mooring post will welcome you .
1959, Dsw n .k nb .t Hw .t Hr js nD jt .f wsjr ,"Let Nephthys call out to you as Horus, savior of his father Osiris ."
1960,Dsw n .k mnj .t wr .t,With the great mooring post calling out to you .
1961,Dsw n .k mnjn .t wr .t,The great mooring post call out to you .
1962,Dsw mnj .t wr .t,With the great mooring post calling out .
1963,Dsw n .k nb .t Hw .t,Nephthys will call out to you .
1964,Dsw n .k smn .tjt nb .t Hw .t js,"Let the mourning goddess call out to you, as Nephthys ."
1965, njs Tw mnj .t As .t js ,The mooring post summoning you as Isis .
1966,njs n .k smn .tjt As .t wsjr js,The mourning goddess summoning you as Isis .
1967,Dsw n .k smn .tjt As .t js,Let the mourning goddess call to you as Isis .
1968,Dsw n .k mnj .t wr .t,Let the great mooring post call out to you .
1969,njs Tw smn .tjt As .t js Dsw n .k mnj .t nb .t Hw .t js xa .tj Hr rd wr,"The mourning goddess summoning you as Isis, the mooring post calling out to you as Nephthys, you being appeared upon the great stair ."
1970,Dsw n .k mnj .t wr .t,The great mooring post calling out to you .
1971,Dsw n .k smn .tjt As .t js xnt .k jr rw .t,"And the mourning goddess call out to you as Isis, while you are before the gate ."
1972,Dsw n .f mnj .t wr .t mr aHa n wrD .n .f Hrj jb AbDw,"While the great mooring post calls out to him, as to he who stands tirelessly, resident in Abydos ."
1973,njs .s jr .k m js .k nj mr P.t,She summoning you from your tomb? of the waterway? of the sky .
1974,Dsw n .k mnj .t nt wr .t,While the great mooring post calls out to you .
1975,wD .k mdw n Ax .w,Issuing commands to the Akhs .
1976,wD .k mdw n Ax .w,Issuing commands to the Akhs .
1977,j .wD .k mdw n Ax .w,Issuing commands to the Akhs .
1978,wD .k mdw n Ax .w,Issuing commands to the Akhs .
1979,wD M.n mdw n Ax m rA .f nb apr,And Merenre issue commands to everyone who is an equipped Akh through his utterance .
1980,wD .k mdw n nTr .w,And issue commands to the gods .
1981,wD .k mdw n nTr .w,And issue commands to the gods .
1982,wD .k mdw n nTr .w,And issue commands to the gods .
1983,wD .tj mdw n nTr .w,Issue commands to the gods!
1984,wD mdw n StA .w s .wt,Issue commands to the ones hidden of place .
1985, wD .k mdw n StA .w s .wt ,And issue commands to those who are hidden of
1986,wD .k mdw n StA .w s .wt,May you issue commands to those who are hidden of place .
1987, Ax sj n Hr xr .k m rn .k nj Ax .t prr .t ra jm ,"It is Akh for Horus with you, in your name of ‘horizon in which Re ascends .’"
1988,Ax n .f sj jm .k,It being exalted for him with you .
1989,Ax n .k sj jm .f m rn .f nj Ax jmj Dndrw,"It being Akh for you with him, in his name of ‘Akh who is in the bark .’"
1990, Ax n .f sj an xr .k m rn .k nj Ax .t prr .t ra jm .k ,"It being Akh for him again because of you, in your name of ‘horizon, you in whom Re ascends .’"
1991,Ax n .f sj jm .k,It being glorious for him with you .
1992,Ax n .T sj,It is Akh for you .
1993,Ax n .k sj jm .f m rn .f nj Ax jmj Dndrw,"It is Akh for you with him, in his name of ‘Akh who in the bark .’"
1994,Ax n .f sj an xr .k m rn .k nj Ax .t pr .t ra jm .k,"It is Akh for him again with you, in your name of ‘horizon, you in whom Re ascends .’"
1995, W. pj r Sr .t sxm wr ,It is Unas at the nostrils of the great power .
1996,P. pw jr Xrj X .t P.t xr ra,And it is Pepi at the underbelly of the sky with Re .
1997,W. pj,It is Unas .
1998,M.n pw,For it is Merenre .
1999,Ne. A pw,"Ah, it is Neferkare!"
2000,M.n A pw,"Ah, it is Merenre!"
2001,P. pw,It is Pepi .
