,Transliteration,Translation
1656,sbH n=k mni.t wr.t wsir is m s.t-a.w(i)=f,While the great mooring post wails for you as (for) Osiris in his suffering.
1657,sbH n=k As.t,Let Isis wail for you.
1658, iw.n=sn n wsir xr xrw sbH n(i) As.t Hna nb.t-Hw.t ,They have come to Osiris precisely because of the sound of the wailing of Isis and Nephthys.
1659,rmm=i{=f } rmy.t,Deeply do I weep.
1660,rm sn=T,Weep for your brother!
1661,rm n=k p.t,Let the sky weep for you.
1662,sbH n=k As.t,Isis will wail for you.
1663,Tmt HA.t Hr=f,You are the one who mourns over him.
1664,iw=sn n wsir Ne. Hr xrw rmm As.t Hr sbH nb.t-Hw.t,"They come to Osiris Neferkare, upon the sound of the weeping of Isis, upon the wailing of Nephthys."
1665,in sn.t=f nb.t p rm.t sw,"It is his sister, the Lady of Buto, who beweeps him."
1666, in sn.t T. pn nb.t p rm.t sw ,"It is the sister of Teti, the Lady of Buto, who beweeps him."
1667,ir=sn(i) nn n(i) rm.wt nTr,Making these god’s lamentations.
1668,wr it(=i),How great is my father!
1669,it(=i) Ne.,O my father Neferkare.
1670,it(=i) Ne.,O my father Neferkare.
1671, d=i Tn m wp.t it(=i) M.n ,Let me place you on the brow of my father Merenre.
1672,it(=i) Ne.,O my father Neferkare.
1673,it(=i) Ne.,O my father Neferkare.
1674,dd=i Tw m ir.ti it=i,In the eye of my father do I put you.
1675,mrH.t n it(=i) mrH.t n /// /// ///,"Unguent for my father, unguent for /// . . ."
1676,it(=i),O my father.
1677,i.nD-Hr=k it(=i) m hrw=k pn,"Hail to you, O my father, on this day!"
1678,it(=i) Ne.,O my father Neferkare.
1679, mA=Tn wab pn n(i) it(=i) wsir P. pn nTr(w) m zmn m bd.w ,"And witness this purification of my father Osiris Pepi, the Netjeru-purification with Zemern-natron and Bed-natron."
1680,iA it(=i) Ne.,"Greeting, O my father Neferkare!"
1681,iA it(=i) wsir P. pn,"Greeting, O my father Osiris Pepi!"
1682,ir.n n=f it=i ib=f,My father has made his heart for himself.
1683,irr n it(=i),And as for the one who acts for my father.
1684, m xAtb=k i.msD.w nb it(=i) ,Have no mercy on anyone whom my father hates.
1685,hA it(=i) wsir P. pn,O my father Osiris Pepi.
1686,mAa r=f it(=i) m nfr.t,And my father was thus served well.
1687,Hw it(=i) smA wr ir=f,"O one who smote my father, O one who slew one who is greater than him."
1688,it(=i) Ne.,O my father Neferkare.
1689,it(=i) Ne. wr,"O my father, O Neferkare, O great one."
1690,it(=i),O my father.
1691,anx anx.ti it(=i) m rn=k pw xr(i) nTr.w,"Live! Live, O my father, in your name of ‘one who is with the gods!’"
1692,iw-s(w) Sm.t=k tn it(=i) M.n mr Sm Hr n it=f wsir,"Indeed this your going, O my father Merenre, is like when Horus went to his father Osiris."
1693,it(=i) wsir Ne.,O my father Osiris Neferkare.
1694,it(=i) Ne.,O my father Neferkare.
1695,iA it(=i) Ne.,"Greeting, O my father Neferkare!"
1696,Sn it(=i) in zH-nTr,"Be enclosed, O my father, by the god’s booth!"
1697,it(=i) wsir,O my father Osiris.
1698,it(=i) Ne.,O my father Neferkare.
1699,it(=i) Ne.,O my father Neferkare.
1700,sDA.t(i) sDAy.t it=i im r Ax.t n(i)t p.t,That my father’s traveling might be traveled thereon to the horizon of the sky.
1701,it(=i) M.n,O my father Merenre.
1702,n SnT Ne. ni-sw.t,Neferkare has not striven with the king.
1703, i.tm.w iT.w n ni-sw.t Sd.ti=sn n sr.w ,"Those who are neither taken away to the king, nor taken out to the nobles."
1704,n mwt P. pn n ni-sw.t,Pepi will not die because of the king.
1705,n mwt Nt. n ni-sw.t n mwt Nt. n rmT,Neith will not die because of the king; Neith will not die because of a man.
1706,n [SnT].n=f ni-sw.t n sm[.n]=f bAs.tit,He does not [strive] with the king: he [does] not aid Bastet.
1707,znzn.t Hr.ti r Ne.,Fire being far from Neferkare.
1708,n rDi.w W. n ns=Tn,And Unas will not be given to your fire.
1709,nTr nb wd.t(i)=f(i) a=f,As for any god who would put his arm (adversarily).
1710,im(i)=sn DA a=sn,Let them not cross their arms.
1711,Ax nb nTr nb DA.t(i)=f(i) a=f m Ne.,As for any Akh or any god whose hand will cross to Neferkare.
1712,n mDA.w DA sw m wA.t P. pn,There is no adversary who would cross himself in the way of Pepi.
1713, dr TwA a.w ir(i)w Ne. pn in i.dr izf.t m-bAH xnti-ir.ti m xm ,The hindrance of arms on Neferkare having been removed by the one who removes injustice before Khentirti in Letopolis.
1714, Hsq=f HA.t(i)w n(i)w DA.t(i)=sn sn m Ne. ,Let it cut out the hearts of those who would cross themselves to Neferkare.
1715,n SnT=i,I will not be striven with.
1716,n xsb.n sw wr.w aH-HD ir msq.t sHd.w,Without the great ones of the white shrine hindering him at the Mesqet of the stars.
1717,imi Tn(i) xsb W.,Do not hinder Unas!
1718,SnTT W. SnTT tm,"If Unas should be striven with, then Atum would be striven with."
1719,n iTi.w Ne. n ni-sw.t,Neferekare will not be taken away to the king.
1720,n iT=T P. pn,You will not take Pepi away.
1721,n nTr nDr P. pn,There is no god who would take hold of Pepi.
1722, im(i)=sn nDr.w a=k ir pr bA pf ,Let them not take your hand to ( i.e. lead you to) that house of that Ba.
1723,m iw sw,Do not strand him!
1724,my iwy sw,Do not strand him!
1725,n Hm iwi.w P. pn,Pepi will not be stranded.
1726,n zA i.tm iwy,And the son of Atum is not stranded.
1727, m sSA (i)w.t(i)=f(i) Hr Hr ir.t=f ,Do not call upon the one who would strand Horus from his eye!
1728,n zA a(.wi)=f(i),His arms are not weak.
1729,n bdSi=f,He will not become feeble.
1730,n wDH=s Tw,May she not wean you.
1731,n wDH=s sw,She will not wean him.
1732,n wDH=s Tw,She will not wean you!
1733,n wDH=s [Tw],Let her not wean [you].
1734,n Hm wDHi=sn sw D.t,They will never wean him.
1735,Di=f n=f Ax=f imi wrS.w p,"He will give him his Akh, who is ‘watcher of Buto.’"
1736,Hr xnti mni.t=f sAT.wti nb sbw.t zAb Sma aD-mr psD.t wr.t,"Horus foremost of his Menit, Satjuti, lord of Sebut, the jackal of Upper Egypt, the nome administrator of the great Ennead."
1737,mdw pn wr aAi pr m rA n(i) DHw.ti n wsir sDA.wi anx xtm.wi nTr.w,"This twice-great word gone forth from the mouth of Thoth to Osiris: ‘seal-bearer of life, sealer of the gods.’"
1738, sAx[=f Tw] DHw.ti is inp is sr DADA.t ,"That [he] make [you] an Akh, as Thoth, as Anubis, noble of the court."
1739,Htp.w(i) (si) n sDm aHa wsir imi-rA nTr.w,How satisfying ( it) is to hear Osiris the overseer of the gods arising!
1740,zAb aD-mr psD.t,"O jackal, nome administrator of the Ennead."
1741,aHa imi ndi.t,"Arise, O one who is in Nedit!"
1742,nmnm imi ndi.t,The one who is in Nedit is shaken.
1743, i Ax pw imi ndi.t sxm imi tA-wr ,"This Akh who is in Nedit comes, the power who is in the Thinite nome."
1744,anx Ax imi ndi.t,So does the Akh who is in Nedit.
1745, wsir is bA pw imi ndi.t sxm pw imi niw.t wr.t ,"As Osiris, this Ba who is in Nedit, this power who is in the great city."
1746,wsir,O Osiris.
1747,Tz=sn(i) wsir Hr gs=f,That they raise Osiris from upon his side.
1748,wsir zA gbb tpi=f,"O Osiris, son of Geb, his first."
1749,wsir,O Osiris.
1750,wsir,O Osiris.
1751,in P. dwA Tw wsir,"It is Pepi who hymns you, O Osiris."
1752,xa wsir,Osiris is appeared.
1753,wsir,O Osiris.
1754, in TpH=k pw nw wsx.t wsir [ in] TAw ,"This is your naos, the broad hall, O Osiris, that which brings breath."
1755,wsir,O Osiris.
1756,wsir,O Osiris.
1757,it(=i) wsir,O my father Osiris.
1758,wsir Ne.,O Osiris Neferkare.
1759,[ iA it(=i)] wsir P. pn,"[Greeting, O my father] Osiris Pepi!"
1760,wsir P. zA gbb tpi=f,O Osiris Pepi son of Geb his first.
1761,iA it(=i) wsir P. pn,"Greeting, O my father Osiris Pepi!"
1762,hA wsir M. pn,O Osiris Merire.
1763,wsir P.,O Osiris Pepi.
1764,i Hr /// . . . /// [wsir] P.,Horus comes /// . . . /// [Osiris] Pepi.
1765,inp ip ib.w ip=f wsir P. m-a nTr.w ir(i)w tA n nTr.w [ imi]w p.t nb irp m wAx ,"Anubis, reckoner of hearts, assigns Osiris Pepi from the gods who are below to the gods who are in the sky, (to be) lord of wine in inundation."
1766,wsir P.,O Osiris Pepi.
1767,wsir M. pn,O Osiris Merire.
1768,it(=i) wsir P. pn,O my father Osiris Pepi.
1769,in TpH.t=k tw nw wsx.t wsir P. pn in.t TAw,"This is your naos, the broad hall, O Osiris Pepi, that which brings breath."
1770,wsir M.n p(w),O Osiris Merenre.
1771,wsir Ne.,O Osiris Neferkare.
1772,wsir Ne.,O Osiris Neferkare.
1773, iw=sn n wsir Ne. Hr xrw rmm As.t Hr sbH nb.t-Hw.t ,"They come to Osiris Neferkare, upon the sound of the weeping of Isis, upon the wailing of Nephthys."
1774, it n(i) P. [wsir] P. wr [qdd]=f aA bAgi ,"O father of Pepi [Osiris] Pepi, whose sleep is great, great of inertness."
1775,wsir Ne.,O Osiris Neferkare.
1776,ir=sn mAa.iw n wsir P.,They will perform service for Osiris Pepi.
1777, wDA.t pw nw ir.n Hr n it=f wsir ,This is a garment which Horus made for his father Osiris.
1778, qbH=k ipn wsir qbH=k ipn hA W. pr.w xr zA=k pr.w xr Hr ,"This libation of yours, O Osiris, this libation of yours, O Unas, which went forth because of your son, which went forth because of Horus."
1779,wsir,O Osiris.
1780,wsir,O Osiris.
1781,r HA.t r HA.t xr wsir,"To the brow! To the brow, to Osiris!"
1782,wsir,O Osiris.
1783, wsir bA im(i) Ax.w sxm im(i) s.wt=f nD.w psD.t m Hw(.t)-sr ,"O Osiris, Ba who is among the Akhs, power who is in his offices, one whom the Ennead saves in the house of the noble."
1784,iw.n=sn(i) m zxn.w sn=sn(i) wsir m zxn.w sn=sn(i) P. pn,"They have come, only in seeking their brother Osiris, only in seeking their brother Pepi."
1785,wsir,O Osiris.
1786,qbH=k ipn wsir imiw [Ddw imiw grg.]w-bA=f,"This libation of yours, O Osiris, that which is in [Busiris, and that which is in Geregubaf ]."
1787,wsir,O Osiris.
1788, wsir bA im(i) Ax.w sxm im(i) s.wt=f nD.w psD.t m Hw(.t)-sr ,"O Osiris, Ba who is among the Akhs, power who is in his offices, one whom the Ennead saves in the house of the noble."
1789,sAx.i sxm pn n bA=f,Let this power be made an Akh because of his Ba.
1790,Twt nTr sxm wa.t(i),"You are a god, the sole power."
1791, wsir is bA pw imi ndi.t sxm pw imi niw.t wr.t ,"As Osiris, this Ba who is in Nedit, this power who is in the great city."
1792,sxm=k xnti anx.w,You being a power before the living.
1793,sxm=k xnti sxm.w,May you be a power before the powers.
1794,Di.n=f n=k Ax.w=f zAb.(i)w Hr is imi pr=f xnti is xnt(i) sxm.w,"He having given you his jackal Akhs, ( you being) as Horus who is in his house, as the foremost one, foremost of powers."
1795, sxm=k <xnti> sxm.w imiw=k ,You being the power <before> the powers who are in you.
1796,sxm is xnt(i) [sxm.w]1225,As the power foremost of [ powers].
1797,sxm nn xnti Ax.w,This one is the power foremost of Akhs.
1798,[xa.ti] m wpi.w bA [ is] xnti anx.w sxm <is> xnti Ax.w sbA is wa.ti,"[Appear] as Wepiu, [as] the Ba who is foremost of the living, as the power foremost of Akhs, as the sole star!"
1799,xa.ti m wpi.w bA is xnti anx.w sxm is xnti Ax.w,"Appear as Wepiu, as the Ba foremost of the living, as the power foremost of Akhs!"
1800,[sxm.ti] m D.t=k nTr is bA is xnti anx.w sxm is xnt(i) Ax.w,"[Have power] in your body as a god, as the Ba foremost of the living, as the power foremost of the Akhs!"
1801,DbA W. m nb=Tn r-Dr=Tn,Adorn Unas as the lord of all of you!
1802, ix mk.t(i) W. im in mAA.w sw ,Let Unas be protected there by those who see him.
1803, iw mk.t(i)=f m iry.t=f r=f ,He is protected from that which might be done against him.
1804,iw mk.t W. m ir.t(=i),The protection of Unas is my eye.
1805,mky Ne.,Neferkare is protected.
1806,im(i) mk.ti W.,Cause that Unas be protected!
1807,nh.t W. nh.t=f,The protection of Unas is his protection.
1808,nhy tSy T. sni tSy T.,Let Teshy protect Teti; let Teshy protect Teti.
1809,[sni] T. nhi T.,[Protect] Teti; protect Teti!
1810,iw nh.t W. m ir.t=f ,The protection of Unas is his eye.
1811,wa[b=k n] psDn.tiw,[You will be pure for] the new moon ceremony.
1812,wab=k n Abd,You will be pure at the monthly ceremony.
1813, xa.w=k n Abd wab=k n psDn.tiw ,You will appear at the monthly ceremony: you will be pure at the new moon ceremony.
1814, [s]ab=k n psDn.tiw mr aHa-n-wrD.n[=f ] /// /// /// ,You will be [ purified] for the new moon ceremony like the one who stands tirelessly.
1815,wab=k ir=k,And be pure.
1816, i.fx=k ab.w=k n tm m [ iwnw] ,May you release your impurity for Atum in [Heliopolis].
1817,wab=k,May you be pure.
1818,wab,Be pure!
1819,wab=k,May you be pure.
1820,wab=k,May you be pure.
1821,wab,Be pure!
1822,wab,Be pure!
1823,[wab=k] im=sn m nTr,Be pure by them as a god!
1824,in.t(i) n=k W. zy mXn.t,"Which ferryboat, O Unas, should be brought to you?"
1825,Sm=k Tny,Where will you go?
1826,i(n)-m tw=k,Who are you?
1827,pr.n=k Tni,From where have you ascended?
1828,iw.n=k tri Tn,To where have you come?
1829,in m ti ir n=k nn,Who has done this for you?
1830,in m ir n=k nn,Who has done this for you?
1831,in m ir n=k,Who has acted for you?
1832,Tn wr ir=k,Raise one who is greater than you!
1833,Tz=sn(i) Tw,Let them raise you.
1834,Tz.n Tw Htm.wt,She who provides has raised you.
1835,Tz Tw gbb,Let Geb raise you.
1836,Tz=s Tw,That she may raise you.
1837,Tz Tw xnti xm,Let the foremost of Letopolis raise you.
1838,Tz=s Tw,That she may raise you.
1839,i.Sn X.t=k Xr=s,Your body being round by it.
1840,m(i) kw dbn.ti Sn.ti m dbn pXr HA(.w)-nb.w,Behold: you are round and encircled as the round one who goes around the Haunebu.
1841, wr.ti dbn.ti m dbn pXr HA.w-nb.w ,"Be great and round, as the round one who goes around the Haunebu!"
1842,/// . . . ///.t=k i.Sn X.t=k Xr[=s],"/// . . . /// what you have ///, your body being round by it."
1843,Dsr.t(i) ir=f m rn=k n(i) tA-Dsr,"You more sacred than him, in your name of ‘he of the sacred land.’"
1844,hA Dsr.t(i) ir=f,Go down be more sacred than him!
1845,hA Dsr.t(i) ir=f,Go down and be more sacred than him!
1846,Htp=f,That he be satisfied (sc. with his eyes).
1847, Di.n n=k gbb ir.ti=k(i) Htp=k ,Geb has given you your eyes precisely that you be satisfied.
1848,Htp=f Hr=s,That he be satisfied with it.
1849,Htp Hr=s,Be satisfied with it!
1850,Htp=k,That you may be satisfied (sc. since the eye is given).
1851,Htp Hr=sn(i),Be satisfied with them!
1852,Htp Hr=k n Hr,Your sight is satisfied because of Horus.
1853,Htp=k m ir.t(i) wr pn im=k,And you are satisfied with the eyes of this great one in you.
1854, Htp=k m rn=k n(i) kA-Htp ,"Precisely that you be satisfied, in your name of ‘satisfied Ka.’"
1855,Htp=k Hr=s,And be satisfied with it.
1856,Htp Hr=s,Be satisfied with it!
1857,Htp=k im=f ra nb,And be satisfied with it every day.
1858, sHtp k(w) Sms.w Hr ,Let the followers of Horus satisfy you.
1859,sHtp[=s] ib=k,That it satisfy your heart.
1860, W. pw DHA.i nTr.w HA(i) Hw.t ra ms.n nH.t-nTr.w imit HA.t wiA ra ,"Unas is the siever of the gods, protector of the house of Re, born of Nehet-netjeru, she who is in the prow of the bark of Re."
1861,d M.n m s.t=f bAq Xr ab.t,"And set Merenre in his (sc. the scribe’s) place, him being cleared and bearing a forked staff !"
1862,P. p(w) zS-mDA.t-nTr Dd nt(i)t sxpr iwt(i)t,"Pepi is the scribe of the god’s book, one who says what is, who brings about what yet is not."
1863, wnn m zS n(i) Hw.t-Hr xpr m kA iwnw ,Being the scribe of Hathor and becoming the bull of Heliopolis.
1864,Hn.ti(=i),That I be served.
1865,Hni=sn P. pn,Even that they serve Pepi.
1866, Hny=sn1228 im(i)=k nznznw ,"And they serve you, and so may you not suffer."
1867,sDr r=f wr pn i.bAn r=f ,"O one who thus passes the night, O great one, O one who spends the night thus."
1868,i.bAn r=f Ne. pn xr kA=f ,Neferkare thus passing the night with his Ka.
1869,hA Nt. pw ia.w qdd Hr.w bAn,"O Neith, one who would rise up, who sleeps, who would be distant, who passes the night."
1870,hA Nt. pw wr qdd aA sDr ir sDr wr pn i.bAn r=f ,"O Neith, great of sleep, who is greater of sleep than this great sleeper, O one who passes the night thus."
1871, /// /// /// aA.w sDr sDr r=f wr pn i.bAn r=f ,"[O Neferkare, great of Qeded-sleep,] great of Sedjer-sleep, who sleeps thus, O great one, who thus passes the night."
1872,i.bAn r=f ,O one who passes the night thus.
1873,xpr W. m wr imi Sd.t,Unas becoming the great one who is in Shedet.
1874,mAn n=Tn W. mr mAA sbk n n(.t),That Unas may look upon you just as Sobek looks upon Neith.
1875,W. pi sbk wAD Sw.t rs Hr Tz HA.t,"Unas is Sobek, green of plumage, vigilant of sight, who raises the brow."
1876, wDa=f mdw sbk <is> imi Sd.t inp is imi tAb.t ,"And he passes judgment as Sobek who is in Shedet, as Anubis who is in Tabet."
1877, n Twt is sbA wa.ti rmn.wt(i) Hw ,"For you are the sole star, the companion of Utterance."
1878, Twt sbA pw wa.ti prr m gs iAb.ti n(i) p.t ,You are this sole star which ascends in the east of the sky.
1879,sSd=k m sbA wa.t(i) Hr-ib nw.t,So that you don the fillet as the sole star in the center of Nut.
1880,[ is]T it(=i) wsir P. m sbA wa.ti m gs pf iAb(.ti) n(i) p.t,And my father Osiris Pepi is this sole star in that eastern side of the sky.
1881,[xa.ti] m wpi.w bA [ is] xnti anx.w sxm <is> xnti Ax.w sbA is wa.ti,"[Appear] as Wepiu, [as] the Ba who is foremost of the living, as the power foremost of Akhs, as the sole star!"
1882,iT n=k wrr.t sbA is wa.t(i) sk xft(i)w,"Seize the Wereret-crown as the sole star, the one who destroys enemies!"
1883,ir.n(=i) n=f ir.t m sbA wa.ti iwt(i) sn-nw=f m-ab=sn nTr.w,"I having done for him what should be done as for ( i.e. he being) the sole star, the one who has no equal among them, the gods."
1884, [ iT n]=T wrr.t [sbA is wa.ti sk xft(i)w] ,Seize the Wereret-crown [as the sole star who destroys enemies]!
1885,Ne. pw zA=k,Neferkare is your son.
1886,n nt(i)t M.n is wng zA ra rmn p.t sSm tA wp nTr.w,"For Merenre is Weneg, the son of Re, the one who shoulders the sky, who leads the earth, who judges the gods."
1887,M. zA ra mry=f ,"Merire is the son of Re, beloved of him."
1888,iwr P. n ra,Pepi was conceived to Re.
1889,m-k wi (i)r(i) ink zA=k,Behold: thus am I your son.
1890,zA=k pw n(i) D.t=k n D.t,For he is your own son forever.
1891,n Ne. Hmw. aA Xn xAtA.wi p.t,Because Neferkare is the great steering oar who rows the Khatawi of the sky.
1892,DbA Hnw.t spd.t nxt(.t) Xr(i) is ds spd zwA Ht.t,"Adorned of horn sharp and strong, as the one who bears the sharp knife, the cutter of throats."
1893,nxt W. r=sn xa Hr wDb=f ,"Unas is stronger than them, is appeared upon his bank."
1894,P. pw DHw.ti nxt nTr.w,"For Pepi is Thoth, mightiest of the gods."
1895,wr pH.t(i)=k ir=f ,Your strength being greater than his.
1896,aA pH.ti,O one great of strength.
1897,wr pH.t(i)=k ir=f ,With your strength greater than his.
1898,n Twt is Ax aA pH.ti,For you are the Akh great of strength.
1899, pH.t(i) P. pH.ti stS nb(w).t(i) ,The strength of Pepi is the strength of Seth the Ombite.
1900,wsr.n Ne. m wAS=k,Neferkare having become strong by your might.
1901,Hr=f m wr pw nb A.t wsr m nkn.t im=f ,"His face as this great one, lord of the diadem, one strong by what was injured in him."
1902, iw wsr=f m Ax.t mr tm it=f ms sw ,"His strength is in the horizon, like Atum his father who bore him."
1903,wsr=f m wsr.t=Tn(i) im,That he be strong by that by which you are strong.
1904, sxm=k m nTr s.ti is wsir ,"And have power as a god, as the successor of Osiris."
1905,Sm.t=k tn s.ti wsir is,"This going of yours, is as the successor of Osiris."
1906,Sm.t=k tw s.t(i) is wsir,"This going of yours, is as the successor of Osiris."
1907,nis sw manD.t,With the day-bark summoning him.
1908,nis=sn n P. pn,Let them make summons for Pepi.
1909,nis manD.t <ir.> M.n,Let the day-bark summon Merenre.
1910,nis.n gbb r[=f ] ///,And Geb has summoned [him] ///.
1911,hrw pw n(i) nis=k ir sDm wD.t mdw,On this day of your being summoned in order to hear commands.
1912,nis tm ir P. pn ir p.t n anx,"Let Atum summon Pepi to the sky, for life."
1913, <n> Twt is wd.n wsir Hr ns.t=f ,Even <because> you are the one whom Osiris put upon his throne.
1914,xa m iar.t imit wp.t stS,He being appeared as the uraeus which is in the brow of Seth.
1915,isw.t(i)=f D.t pr.t m nTr iar.t pr.t m ra,"His Isuti-uraeus is the cobra which came forth from the god, the I’aret-uraeus which came forth from Re."
1916,M.n pw iar.t pr.t m stS iT.t in.t,"Merenre is the uraeus which came forth from Seth, which is taken, which is brought."
1917,iar.t imit wp.t ra,The uraeus which is in the brow of Re.
1918,Ne. pw b(i)k ngg dbn ir.t Hr Hr(i)-ib dA<.t> /// /// ///,"Neferkare is a screeching falcon who circles around, the eye of Horus inside the netherworld /// /// ///."
1919,D(.t) pw nn pr.t m ra,"This one is the cobra, who came forth from Re."
1920,Nt. pw bik pr [m ra] m iar.t pr.t m bik{m} pr.t m ir.t Hr,"Neith is the falcon who came forth [from Re], is the uraeus which came forth from the falcon, which came forth from the eye of Horus."
1921, hA n<=k> T. m zAb Sma inp is Hr(i)-X.t=f wpi.w is xnti iwnw ,"Descend, O Teti, as the jackal of Upper Egypt, as Anubis, the one upon his belly, as Wepiu, foremost of Heliopolis!"
1922,rmn.wi=k(i) m wpi.w,Your arms are Wepiu.
1923,iw.n(=f ) wpw.w is,"He has come, even as Wepiu."
1924,Szp n=k rn=k n(i) wpi.w,And receive your name of ‘Wepiu!’
1925,pr=k im=sn m wpi.w,That you go out through them as Wepiu.
1926, hA n=k <m> zAb Sma inp is Hr(i)-gs=f {h}<w>piw.w is xnti iwnw ,"Descend <as> the jackal of Upper Egypt, as Anubis who is beside him, as <Wepiu>, foremost of Heliopolis!"
1927,Tz Tw ms Hr ms imi Dba.wt-p stS is imi HnHn.t,"Raise yourself, O child of Horus, as the child who is in Djebaut-Buto, as Seth, the one who is in Henhenet!"
1928,sSm n=k mD.wt=k stS is imi Hn.t,"Release (lit. lead) your fetters, as Seth who is in Henet!"
1929, sfxx n=k mD.wt=k stS is imi{t} Hnb.t ,Loosen your fetters as Seth who in Henet!
1930,[sfxx n=k mD.wt]=k stS is imi Hn.t,[Release] your [fetters] as Seth who is in Henet!
1931,/// /// [Hr is] imi pr=f is stS imi [Hn.t],"/// [as Horus], as the one who is in his house, as Seth who is in [Henet]!"
1932,wHa n=k zAr.w=k Hr is imi pr=f ,"Loosen your bonds, as Horus the one who is in his house!"
1933, wDa n=k zAr.w=k Hr is imi pr=f ,Cut your bonds as Horus who is in his house!
1934,i.wD=k mdw mdw n Hnmm.t mnw is imi pr=f Hr is Dba.t,"As you issue commands to the sun-folk, as Min who is in his house, as Horus of Djebat."
1935, wDa n<=k> zAr.w=k Hr is imi pr=f ,Cut your bonds [as] Horus [who is in his house]!
1936,/// /// [Hr is] imi pr=f is stS imi [Hn.t],"/// [as Horus], as the one who is in his house, as Seth who is in [Henet]!"
1937,ms.n nw M.n Hr Dr.t=f iAb.(i)t nxn ny sAA.t M.n,"Nu bore Merenre upon his left hand, even with him being young, knowledge of Merenre not existing."
1938,nxn.i T.,Teti is young.
1939,nxn.w pw,He is a youth.
1940, P. pi nxn imn qd.w ir i.xm.w-sk ,"Pepi is this youth, who is more hidden of form than the imperishable stars."
1941,mr in.t ib n(i) zA=s Hr,Just as the heart of her son Horus was brought.
1942, Di(=i) n=k ib=k n D.t=k ,And I put your heart into (lit. to) your body for you.
1943,rDi(=i) n=k ib=k n(i) D.t=k,And I give you your own heart.
1944,sbH n=k As.t,Let Isis wail for you.
1945,sbH n=k mni.t wr.t wsir is m s.t-a.w(i)=f ,While the great mooring post wails for you as (for) Osiris in his suffering.
1946,sbH n=k As.t,Let Isis wail for you.
1947, iw.n=sn n wsir xr xrw sbH n(i) As.t Hna nb.t-Hw.t ,They have come to Osiris precisely because of the sound of the wailing of Isis and Nephthys.
1948,rm sn=T,Weep for your brother!
1949,sbH n=k smn.t(i)t,The mourning goddess wails for you.
1950,sbH n=k As.t,Isis will wail for you.
1951,Tmt HA.t Hr=f ,You are the one who mourns over him.
1952,iw=sn n wsir Ne. Hr xrw rmm As.t Hr sbH nb.t-Hw.t,"They come to Osiris Neferkare, upon the sound of the weeping of Isis, upon the wailing of Nephthys."
1953,sbH n=k smn.t(i)t,Let the mourning goddess wail for you.
1954,Dsw n=k smn.t(i)t,Let the mourning goddess call out to you.
1955, mdw n=k As.t Dsw n=k nb.t-Hw.t ,Let Isis speak to you and Nephthys call to you.
1956,mdw n=k mni.t wr.t As.t is,The great mooring post speaking to you as Isis.
1957,Dsw n=k nb.t-Hw.t,And Nephthys call out to you.
1958,nwi.w n=k mni.t,The mooring post will welcome you.
1959, Dsw n=k nb.t-Hw.t Hr is nD it=f wsir ,"Let Nephthys call out to you as Horus, savior of his father Osiris."
1960,Dsw n=k mni.t wr.t,With the great mooring post calling out to you.
1961,Dsw n=k mni{n}.t wr.t,The great mooring post call out to you.
1962,Dsw mni.t wr[.t],With the great mooring post calling out.
1963,Dsw n=k nb.t-Hw.t,Nephthys will call out to you.
1964,Dsw n=k smn.t(i)t nb.t-Hw.t is,"Let the mourning goddess call out to you, as Nephthys."
1965, nis Tw mn(i).t As.t [i ]s ,The mooring post summoning you [a]s Isis.
1966,nis n=k smn.t(i)t <As.t> {wsir} is,The mourning goddess summoning you as <Isis>.
1967,Dsw n=k smn.t(i)t As.t is,Let the mourning goddess call to you as Isis.
1968,Dsw n=k mni.t wr.t,Let the great mooring post call out to you.
1969,[nis Tw smn.]t(i)t As.t is Dsw n=k mn(i).t nb.t-Hw.t is xa[.t(i)] Hr rd-wr,"[The mourning goddess summoning you] as Isis, the mooring post calling out to you as Nephthys, [you] being appeared upon the great stair."
1970,Dsw n=k mni.t wr.t,The great mooring post calling out to you.
1971,Dsw n=k smn.t(i)t As.t is xnt=k ir r(w).t,"And the mourning goddess call out to you as Isis, while you are before the gate."
1972,[Dsw] n=f mn(i).t wr.t mr aHa-n-wrD.n=f Hr(i)-ib AbDw,"While the great mooring post calls out to him, as to he who stands tirelessly, resident in Abydos."
1973,nis=s ir=k m iz=k n(i) mr p.t,She summoning you from your tomb(?) of the waterway(?) of the sky.
1974,Dsw n[=k] mni.t {nt} wr.t,While the great mooring post calls out to [you].
1975,wD=k mdw n Ax.w,Issuing commands to the Akhs.
1976,wD=k mdw n Ax.w,Issuing commands to the Akhs.
1977,i.w<D>=k mdw n Ax.w,<Iss>uing commands to the Akhs.
1978,wD=k-mdw n Ax.w,Issuing commands to the Akhs.
1979,wD M.n mdw n Ax m rA=f nb apr,And Merenre issue commands to everyone who is an equipped Akh through his utterance.
1980,wD=k [mdw] n nTr.w,And issue commands to the gods.
1981,wD=k mdw n nTr.w,And issue commands to the gods.
1982,wD=k mdw n nTr.w,And issue commands to the gods.
1983,wD.ti mdw <n> nTr.w,Issue commands <to> the gods!
1984,wD mdw n StA.w s.wt,Issue commands to the ones hidden of place.
1985, wD=k mdw n StA.w s.wt ,And issue commands to those who are hidden of
1986,wD=k mdw n StA.w s.wt,May you issue commands to those who are hidden of place.
1987, Ax (si) n Hr xr=k m rn=k n(i) Ax.t prr.t ra im ,"(It) is Akh for Horus with you, in your name of ‘horizon in which Re ascends.’"
